SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,NativeRegion,CommonNamesFR,CommonNamesSP,CommonNamesEN,Photos,PhotoReferences,Climbing,Acaulescent,Erect,StemSolitary,StemArmed,LeavesArmed,MaxStemHeight_m,MaxStemDia_cm,UnderstoreyCanopy,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeCategorical,FruitShape,FruitColorDescription,MainFruitColors,"Conspicuousness
"
Asterogyne yaracuyense,Asterogyne,yaracuyense,Geonomateae,Arecoideae,VEN,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,false,false,false,8,8,canopy,31,1.2,1.2,,,,,,,,,ovoid,,,"
"
Astrocaryum acaule,Astrocaryum,acaule,Cocoseae,Arecoideae,"BZN, CLM, GUY, VEN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/10632401/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/14826170/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/277012061/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/277012213/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/48659008/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/48659022/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/93131481/large.jpg,"(c) Enrique Salazar, some rights reserved (CC BY-NC), uploaded by Enrique Salazar (c) Enrique Salazar, some rights reserved (CC BY-NC), uploaded by Enrique Salazar (c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer (c) Tomaz Nascimento de Melo, some rights reserved (CC BY-NC-ND), uploaded by Tomaz Nascimento de Melo (c) Paul K, some rights reserved (CC BY) (c) Edson Guilherme, some rights reserved (CC BY-NC), uploaded by Edson Guilherme (c) Tomaz Nascimento de Melo, some rights reserved (CC BY-NC-ND), uploaded by Tomaz Nascimento de Melo",false,true,false,false,true,true,1,30,understorey,9,7,4,2.75,4,3.5,4.5,2.6,2.4,2.8,large,,yellow,yellow,"conspicuous
"
Astrocaryum aculeatissimum,Astrocaryum,aculeatissimum,Cocoseae,Arecoideae,"BZE, BZL, BZS",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/174403830/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/219073764/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/220857418/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/239106869/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/27895845/large.jpg; https://static.inaturalist.org/photos/217646859/large.jpg; https://upload.wikimedia.org/wikipedia/commons/3/33/Brejauva_Fruta_01.JPG; https://upload.wikimedia.org/wikipedia/commons/4/44/Brejauva_Frutas_01.JPG; https://upload.wikimedia.org/wikipedia/commons/4/4e/Brejauva_Fruta_aberta_01.JPG; https://upload.wikimedia.org/wikipedia/commons/7/76/Ha%C3%AFri_Thevet_1557_72v.png; https://upload.wikimedia.org/wikipedia/commons/7/7b/Astrocaryum_aculeatissimum.jpg; https://upload.wikimedia.org/wikipedia/commons/9/9d/Brejauva_Fruta_com_e_sem_casca_e_polpa_01.JPG,"(c) Diogo Luiz, some rights reserved (CC BY), uploaded by Diogo Luiz (c) Diego Monsores, some rights reserved (CC BY-NC), uploaded by Diego Monsores (c) jvcoffani, all rights reserved (c) Geovane Siqueira, some rights reserved (CC BY-NC), uploaded by Geovane Siqueira (c) Diego Monsores, some rights reserved (CC BY-NC), uploaded by Diego Monsores (c) Douglas Eduardo Rocha, some rights reserved (CC BY-NC-ND), uploaded by Douglas Eduardo Rocha",false,false,true,false,true,true,8,15,canopy,20,,,,5.5,5,6,3.5,3,4,large,,light to dark brown,brown,"cryptic
"
Astrocaryum aculeatum,Astrocaryum,aculeatum,Cocoseae,Arecoideae,"BOL, BZE, BZN, CLM, FRG, GUY, PER, SUR, VEN",Pas de nom commun,"chonta,cumare panima,tucumo yavaide","acuyuru-plam,cuyuro-palm tucumou",https://inaturalist-open-data.s3.amazonaws.com/photos/10632453/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/17078581/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/60613021/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/69007556/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/88501272/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/98359298/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/98625378/large.jpeg; https://static.inaturalist.org/photos/75798376/large.jpg; https://static.inaturalist.org/photos/96826667/large.jpg; https://upload.wikimedia.org/wikipedia/commons/e/e0/Astrocaryum_aculeatum_MHNT.BOT.2017.10.18.jpg; https://upload.wikimedia.org/wikipedia/commons/e/ed/Tucuma-oleo-frut4.JPG,"(c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer (c) Ruben D. Layme, some rights reserved (CC BY-NC), uploaded by Ruben D. Layme (c) Renata Xavier, some rights reserved (CC BY-NC), uploaded by Renata Xavier (c) Victória Favacho, all rights reserved, uploaded by Victória Favacho (c) Ruben D. Layme, some rights reserved (CC BY-NC), uploaded by Ruben D. Layme (c) Jessica dos Anjos, all rights reserved, uploaded by Jessica dos Anjos (c) Vanesa Cruz Jumbo, some rights reserved (CC BY-NC), uploaded by Vanesa Cruz Jumbo (c) Tomaz Nascimento de Melo, some rights reserved (CC BY-NC-ND), uploaded by Tomaz Nascimento de Melo (c) Tomaz Nascimento de Melo, some rights reserved (CC BY-NC-ND), uploaded by Tomaz Nascimento de Melo",false,false,true,true,true,true,20,25,canopy,15,8.4,6.4,2.1,5.5,4.5,6.5,4,3.5,4.5,large,globose,orange; greenish to yellowish,orange,"conspicuous
"
Astrocaryum alatum,Astrocaryum,alatum,Cocoseae,Arecoideae,"CLM, COS, HON, NIC, PAN",Pas de nom commun,"Coquillo,Coquito",No Common Name,https://static.inaturalist.org/photos/19422858/large.jpg; https://upload.wikimedia.org/wikipedia/commons/6/6c/Astrocaryum_alatum_%28Scott_Zona%29_001.jpg,"(c) erinkup, all rights reserved",false,false,true,true,true,true,7,18,canopy,30,3,1.78,1.27,2.6,,,1.8,,,small,ovoid,fruits spiny; green-brownish,green,"cryptic
"
Astrocaryum campestre,Astrocaryum,campestre,Cocoseae,Arecoideae,"BOL, BZC, BZE, BZL, BZN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/234231989/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/234235908/large.jpeg; https://static.inaturalist.org/photos/70753948/large.jpeg,"(c) Cristine Prates, all rights reserved, uploaded by Cristine Prates (c) Lucas C. Marinho, some rights reserved (CC BY-NC), uploaded by Lucas C. Marinho (c) Lucas C. Marinho, some rights reserved (CC BY-NC), uploaded by Lucas C. Marinho",false,true,false,false,true,true,0,,understorey,6,1.5,1.4,0.12,3.25,3,3.5,2.25,2,2.5,small,ovoid,yellowish-green,green,"cryptic
"
Astrocaryum carnosum,Astrocaryum,carnosum,Cocoseae,Arecoideae,PER,Pas de nom commun,Huicungo,No Common Name,NoImages,NoReferences,false,false,true,false,true,true,4,18,understorey,8,3.5,,1.45,1.4,,,1,,,small,globose,,,"
"
Astrocaryum chambira,Astrocaryum,chambira,Cocoseae,Arecoideae,"BZN, CLM, ECU, PER, VEN",Pas de nom commun,cumare,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/20337235/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/20338334/large.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1f/Astrocaryum_chambira_%2819239068154%29.jpg; https://upload.wikimedia.org/wikipedia/commons/d/d7/Astrocaryum_chambira_%2819854314902%29.jpg,"(c) Edson Guilherme, some rights reserved (CC BY-NC), uploaded by Edson Guilherme (c) Edson Guilherme, some rights reserved (CC BY-NC), uploaded by Edson Guilherme",false,false,true,true,true,true,30,40,canopy,16,9,5.5,3.25,7,6,8,4.75,4.5,5,large,,yellow to orange at maturity,yellow; orange,"conspicuous
"
Astrocaryum chonta,Astrocaryum,chonta,Cocoseae,Arecoideae,"BOL, PER",Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,true,false,true,7,25,canopy,12,6.26,4.5,,5.4,,,1.5,,,large,,,,"
"
Astrocaryum ciliatum,Astrocaryum,ciliatum,Cocoseae,Arecoideae,"BZN, CLM, PER",Pas de nom commun,"Coco,Cumare de Guare",No Common Name,NoImages,NoReferences,false,false,false,true,,true,0,,understorey,12,4.8,4.8,,4.9,4.6,5.2,2.8,2.6,3,large,,,,"
"
Astrocaryum confertum,Astrocaryum,confertum,Cocoseae,Arecoideae,"COS, PAN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/47059683/large.jpeg,"(c) Jan Meerman, some rights reserved (CC BY-NC), uploaded by Jan Meerman",false,false,true,true,true,true,17,25,canopy,12,4,4,,3,,,3,,,small,ovoid,spiny; brown,brown,"cryptic
"
Astrocaryum echinatum,Astrocaryum,echinatum,Cocoseae,Arecoideae,BZC,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,true,,true,,,,,,,,4.2,,,3.2,,,large,,,,"
"
Astrocaryum faranae,Astrocaryum,faranae,Cocoseae,Arecoideae,"BZN, PER",Pas de nom commun,Sin nombre común,No Common Name,https://static.inaturalist.org/photos/32868119/large.jpg; https://static.inaturalist.org/photos/32868128/large.jpg,"(c) Marcos Silveira, all rights reserved, uploaded by Marcos Silveira (c) Marcos Silveira, all rights reserved, uploaded by Marcos Silveira",false,false,true,false,,true,10,20,canopy,12,4,4,,6.1,4.2,8,1.8,1.2,2.4,large,ovoid,spiny; orange,orange,"conspicuous
"
Astrocaryum farinosum,Astrocaryum,farinosum,Cocoseae,Arecoideae,"BZN, GUY, SUR",Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,false,true,,true,4,18,understorey,12,5.2,5.2,,6.2,4.8,7.6,3.7,2.6,4.7,large,ovoid,hairy brown,brown,"cryptic
"
Astrocaryum ferrugineum,Astrocaryum,ferrugineum,Cocoseae,Arecoideae,"BZN, CLM",Pas de nom commun,Huicongo,No Common Name,NoImages,NoReferences,false,false,true,true,,true,8,25,canopy,16,5.1,5.1,,5.3,4.6,6,5.25,2.7,3.8,large,elongate,,,"
"
Astrocaryum giganteum,Astrocaryum,giganteum,Cocoseae,Arecoideae,BZN,Pas de nom commun,Sin nombre común,No Common Name,https://upload.wikimedia.org/wikipedia/commons/1/18/Contributions_du_Jardin_botanique_de_Rio_de_Janeiro_%2813603870545%29_-_cropped_1.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c9/Contributions_du_Jardin_botanique_de_Rio_de_Janeiro_-_tab._010_%2813603870545%29.jpg; https://upload.wikimedia.org/wikipedia/commons/e/e3/Contributions_du_Jardin_botanique_de_Rio_de_Janeiro_%281901%29_%2820063539264%29.jpg,NoReferences,false,true,false,true,true,true,4,22,understorey,14,5.8,5.8,,4,,,2.5,,,large,globose,yellow to brown-orange,yellow; brown,"conspicuous
"
Astrocaryum gratum,Astrocaryum,gratum,Cocoseae,Arecoideae,"BOL, PER",Pas de nom commun,"chonta,chonta-de-macallo chonta loro,chonta-negra huicungo",No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/28080234/large.jpeg,"(c) Germaine Alexander Parada, some rights reserved (CC BY-NC), uploaded by Germaine Alexander Parada",false,false,true,false,true,true,5,17,understorey,,7.3,5.1,2.3,5.35,,,3.5,,,large,ovoid,orange-yellow,orange; yellow,"conspicuous
"
Astrocaryum huaimi,Astrocaryum,huaimi,Cocoseae,Arecoideae,"BOL, BZC, PER",Pas de nom commun,"Cehontilla,Chonta Huaimi-tococa",No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/12330619/large.jpg,"(c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer",false,false,true,false,true,true,7,15,canopy,12,5.5,3.5,2.1,3.55,3.2,3.9,2.75,2.5,3,small,globose,yellowish to orange,orange,"conspicuous
"
Astrocaryum huicungo,Astrocaryum,huicungo,Cocoseae,Arecoideae,PER,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,false,true,true,2,15,understorey,,3,3,,5,,,3.5,,,large,elongate,yellow orange,yellow; orange,"conspicuous
"
Astrocaryum jauari,Astrocaryum,jauari,Cocoseae,Arecoideae,"BZN, CLM, ECU, FRG, GUY, PER, SUR, VEN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/265394559/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/32699239/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/b/be/N208_w1150_%2850567135496%29.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c7/Tronco_Astrocaryum_jauari.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c9/Astrocaryum_jauari.jpg,"(c) Guillaume Léotard, some rights reserved (CC BY-NC), uploaded by Guillaume Léotard (c) Marcus Athaydes, some rights reserved (CC BY-NC), uploaded by Marcus Athaydes",false,false,true,false,true,true,20,30,canopy,15,6,3.6,2.5,3.5,2.5,5,2.4,1.7,3,small,ovoid,yellow or orange at maturity,yellow; orange,"conspicuous
"
Astrocaryum javarense,Astrocaryum,javarense,Cocoseae,Arecoideae,"BZN, PER",Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,false,true,true,4,18,understorey,16,5.7,4.4,1.35,5.1,3.5,6.7,1.6,2.2,3,large,globose,hairy brown,brown,"cryptic
"
Astrocaryum macrocalyx,Astrocaryum,macrocalyx,Cocoseae,Arecoideae,PER,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,,,true,9,1,canopy,,,,,8,,,6.5,,,large,ovoid,,,"
"
Astrocaryum malybo,Astrocaryum,malybo,Cocoseae,Arecoideae,CLM,Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/15072970/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/246866740/large.jpeg; https://static.inaturalist.org/photos/267149986/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/246866782/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/7971429/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/35232660/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/24395487/large.jpeg,"(c) Jhon Mario Florez Salazar, some rights reserved (CC BY-NC-ND), uploaded by Jhon Mario Florez Salazar (c) Pedro José Cardona Camacho, some rights reserved (CC BY-NC), uploaded by Pedro José Cardona Camacho (c) mariapcontreras, all rights reserved (c) Pedro José Cardona Camacho, some rights reserved (CC BY-NC), uploaded by Pedro José Cardona Camacho (c) Mateo Hernandez Schmidt, some rights reserved (CC BY-NC-SA), uploaded by Mateo Hernandez Schmidt (c) Antonio Carlos Silva Moraes, some rights reserved (CC BY-NC), uploaded by Antonio Carlos Silva Moraes (c) Gabriel Camilo Jaramillo Giraldo, some rights reserved (CC BY-NC-SA), uploaded by Gabriel Camilo Jaramillo Giraldo",false,true,false,true,,true,0,,understorey,20,6.95,5,2.05,,,,,,,,elongate,,,"
"
Astrocaryum mexicanum,Astrocaryum,mexicanum,Cocoseae,Arecoideae,"BLZ, ELS, GUA, HON, MXG, MXS, MXT, NIC",Pas de nom commun,"Chocho,Lancetilla",No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/2177439/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/4982555/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/8101578/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/9937680/large.jpg; https://static.inaturalist.org/photos/626851/large.JPG; https://upload.wikimedia.org/wikipedia/commons/0/06/Astrocaryum_mexicanum_-_Palmengarten_Frankfurt_-_DSC01810.JPG; https://upload.wikimedia.org/wikipedia/commons/1/10/Astrocaryum_mexicanum.JPG; https://upload.wikimedia.org/wikipedia/commons/8/88/Astrocaryum_mexicanum_3zz.jpg; https://upload.wikimedia.org/wikipedia/commons/9/9f/Astrocaryum_mexicanum_2zz.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ad/Palmengarten_fg19.jpg; https://upload.wikimedia.org/wikipedia/commons/a/af/Astrocaryum_mexicanum_1zz.jpg; https://upload.wikimedia.org/wikipedia/commons/b/b0/Astrocaryum_mexicanum_-_Marie_Selby_Botanical_Gardens_-_Sarasota%2C_Florida_-_DSC01156.jpg; https://upload.wikimedia.org/wikipedia/commons/c/cc/Astrocaryum_mexicanum_0zz.jpg; https://upload.wikimedia.org/wikipedia/commons/d/d9/Astrocaryum_mexicanum_-_Marie_Selby_Botanical_Gardens_-_Sarasota%2C_Florida_-_DSC01154.jpg,"(c) Juan Carlos Pérez Magaña, some rights reserved (CC BY-NC), uploaded by Juan Carlos Pérez Magaña (c) Jorge Armín Escalante-Pasos, some rights reserved (CC BY), uploaded by Jorge Armín Escalante-Pasos (c) Luis Alberto, some rights reserved (CC BY-NC), uploaded by Luis Alberto (c) Juan Carlos López Domínguez, some rights reserved (CC BY-NC), uploaded by Juan Carlos López Domínguez (c) Photo by David J. Stang, some rights reserved (CC BY-SA)",false,false,true,true,true,true,6,8,canopy,11,3.6,3,0.65,3.5,,,1.8,,,small,globose,green-brownish hairs,,"
"
Astrocaryum minus,Astrocaryum,minus,Cocoseae,Arecoideae,"BZN, FRG",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/78870400/large.jpeg,"(c) Sébastien SANT, some rights reserved (CC BY-NC), uploaded by Sébastien SANT",false,false,true,false,true,true,3,15,understorey,10,3.9,3.9,,1.2,,,1,,,small,globose,,,"
"
Astrocaryum murumuru,Astrocaryum,murumuru,Cocoseae,Arecoideae,"BZN, FRG, GUY, SUR, VEN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/12330622/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/56035855/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/73991646/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/74373909/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/0/03/Murumuru_butter.JPG; https://upload.wikimedia.org/wikipedia/commons/3/38/Sementes_de_murumuru.JPG; https://upload.wikimedia.org/wikipedia/commons/4/44/Astrocaryum_murumuru_73946130.jpg; https://upload.wikimedia.org/wikipedia/commons/4/48/Astrocaryum_murumuru_MHNT.BOT.2017.10.5.jpg; https://upload.wikimedia.org/wikipedia/commons/5/54/Murumuru_2.JPG; https://upload.wikimedia.org/wikipedia/commons/5/58/L%27Illustration_horticole_%28Plate_213%29.jpg; https://upload.wikimedia.org/wikipedia/commons/7/78/%28Astrocaryum_Murumuru%2C_M.%29%2C_da_Cole%C3%A7%C3%A3o_Brasiliana_Iconogr%C3%A1fica.jpg; https://upload.wikimedia.org/wikipedia/commons/7/79/Astrocaryum_murumuru.jpg; https://upload.wikimedia.org/wikipedia/commons/7/79/Murumuru_3.JPG; https://upload.wikimedia.org/wikipedia/commons/9/95/Astrocaryum_murumuru_74373909.jpg; https://upload.wikimedia.org/wikipedia/commons/b/bf/%28Astrocaryum_murumura%2C_Mart.%29%2C_da_Cole%C3%A7%C3%A3o_Brasiliana_Iconogr%C3%A1fica.jpg; https://upload.wikimedia.org/wikipedia/commons/d/d3/Murumuru1.JPG; https://upload.wikimedia.org/wikipedia/commons/e/ee/Astrocaryum_murumuru_305593785.jpg,"(c) Carlos G Velazco-Macias, some rights reserved (CC BY-NC), uploaded by Carlos G Velazco-Macias (c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer (c) Jens-Christian Svenning, some rights reserved (CC BY), uploaded by Jens-Christian Svenning (c) Jens-Christian Svenning, some rights reserved (CC BY), uploaded by Jens-Christian Svenning",false,false,true,false,true,true,15,30,canopy,16,8,6,2.1,7.25,6,8.5,4.1,3.8,4.4,large,ovoid,yellow to tan; breaking open to show orange mesocarp,yellow; brown,"conspicuous
"
Astrocaryum paramaca,Astrocaryum,paramaca,Cocoseae,Arecoideae,"BZN, FRG, SUR",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/46374503/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/3/3b/Astrocaryum_paramaca_MHNT.BOT.2007.27.27.jpg; https://upload.wikimedia.org/wikipedia/commons/5/55/Astrocaryum_paramaca_280588708.jpg; https://upload.wikimedia.org/wikipedia/commons/8/8c/Paramaca_Palm_%28Astrocaryum_paramaca%29_%2828152593059%29.jpg,"(c) Lisa Moreno, some rights reserved (CC BY-NC), uploaded by Lisa Moreno",false,false,true,true,,true,8,11,canopy,15,6.3,5,1.35,3.75,3.5,4,2.25,2,2.5,small,ovoid,brown-orange,brown,"cryptic
"
Astrocaryum perangustatum,Astrocaryum,perangustatum,Cocoseae,Arecoideae,PER,Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/305593311/large.jpeg,"(c) Alfredo Gutierrez Dipaz, some rights reserved (CC BY), uploaded by Alfredo Gutierrez Dipaz",false,false,true,true,true,true,4,23,understorey,14,4.5,,2.3,8,,,2.3,,,large,,,,"
"
Astrocaryum rodriguesii,Astrocaryum,rodriguesii,Cocoseae,Arecoideae,"BZN, FRG, SUR",Pas de nom commun,Sin nombre común,No Common Name,https://static.inaturalist.org/photos/120406376/large.jpeg,"(c) Maxime Rome, all rights reserved, uploaded by Maxime Rome",false,false,true,true,true,true,20,25,canopy,17,3.5,3.5,,4,,,2.2,2,2.4,large,globose,brownish to orange; dehiscent,orange,"conspicuous
"
Astrocaryum sciophilum,Astrocaryum,sciophilum,Cocoseae,Arecoideae,"BZN, FRG, GUY, SUR",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/86558962/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/3/30/Astrocaryum_sciophilum_MHNT.BOT.2007.27.23.jpg,"(c) Olivier Fortune/Isabelle Delafosse, some rights reserved (CC BY-NC), uploaded by Olivier Fortune/Isabelle Delafosse",false,false,true,true,true,true,12,20,canopy,14,7.7,5.2,2.6,6.75,6.5,7,3.25,2.5,4,large,ovoid,brown,brown,"cryptic
"
Astrocaryum scopatum,Astrocaryum,scopatum,Cocoseae,Arecoideae,PER,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,true,,,true,,,,,,,,,,,,,,,elongate,,,"
"
Astrocaryum sociale,Astrocaryum,sociale,Cocoseae,Arecoideae,BZN,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,false,false,true,false,true,0,0,understorey,8,3.6,2.1,1.55,5,4,6,3,2.5,3.5,large,,orange,orange,"conspicuous
"
Astrocaryum standleyanum,Astrocaryum,standleyanum,Cocoseae,Arecoideae,"CLM, COS, ECU, PAN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/141991748/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/141991784/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/67856833/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/77584529/large.jpeg; https://static.inaturalist.org/photos/145256727/large.jpeg; https://static.inaturalist.org/photos/2938367/large.jpg; https://upload.wikimedia.org/wikipedia/commons/0/0c/Astrocaryum_standleyanum.jpg; https://upload.wikimedia.org/wikipedia/commons/2/24/Astrocaryum_standleyanum_1.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4e/Astrocaryum_standleyanum_fruits.jpg; https://upload.wikimedia.org/wikipedia/commons/c/cd/Spiny_Palm_-_Flickr_-_treegrow.jpg,"(c) Hubert Szczygieł, some rights reserved (CC BY-NC), uploaded by Hubert Szczygieł (c) Jorge Arturo Bogantes Montero, some rights reserved (CC BY-NC), uploaded by Jorge Arturo Bogantes Montero (c) Jorge Arturo Bogantes Montero, some rights reserved (CC BY-NC), uploaded by Jorge Arturo Bogantes Montero (c) Eric Koberle, some rights reserved (CC BY-NC), uploaded by Eric Koberle (c) Curt P Finfrock, all rights reserved, uploaded by Curt P Finfrock (c) Theresa Bayoud, all rights reserved, uploaded by Theresa Bayoud",false,false,true,true,true,true,15,30,canopy,18,5.61,4,1.71,5.5,4,6,3.1,2.7,3.5,large,,orange at maturity,orange,"conspicuous
"
Astrocaryum triandrum,Astrocaryum,triandrum,Cocoseae,Arecoideae,CLM,Pas de nom commun,Guatinajo,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/29661936/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/29661906/large.jpeg,"(c) Santi MD, some rights reserved (CC BY-NC), uploaded by Santi MD (c) Santi MD, some rights reserved (CC BY-NC), uploaded by Santi MD",false,false,true,true,true,true,5,12,understorey,8,3.09,3,,5,4,6,2.75,2.5,3,large,,,,"
"
Astrocaryum tucuma,Astrocaryum,tucuma,Cocoseae,Arecoideae,"BOL, BZN, CLM, FRG, GUY, SUR, TRT, VEN",tucum,tucuma,tucum palm,https://inaturalist-open-data.s3.amazonaws.com/photos/10641629/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/13147377/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13147394/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13147396/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13147420/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13147422/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13147440/large.jpeg; https://static.inaturalist.org/photos/95534102/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/0/03/Jo%C3%A3o_Barbosa_Rodrigues_-_A._Astrocaryum_yauaperyense%3B_B._Astrocaryum_princeps_var._sulphureum%3B_C._Astrocaryum_princeps_var._flavum.jpg,"(c) Nelson Wisnik, some rights reserved (CC BY-NC), uploaded by Nelson Wisnik (c) Nelson Wisnik, some rights reserved (CC BY-NC), uploaded by Nelson Wisnik (c) Nelson Wisnik, some rights reserved (CC BY-NC), uploaded by Nelson Wisnik (c) Marcos Silveira, all rights reserved, uploaded by Marcos Silveira (c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer (c) Nelson Wisnik, some rights reserved (CC BY-NC), uploaded by Nelson Wisnik (c) Nelson Wisnik, some rights reserved (CC BY-NC), uploaded by Nelson Wisnik (c) Nelson Wisnik, some rights reserved (CC BY-NC), uploaded by Nelson Wisnik",false,false,true,,,true,,,,,,,,,,,,,,,,orange,orange,"conspicuous
"
